,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,regularMarketPrice,logo_url,address2,fax,toCurrency,lastDividendDate,impliedSharesOutstanding
69,60549,Industrials,36207.0,"KION GROUP AG provides industrial trucks, warehouse technology, supply chain solutions, and related services worldwide. The company operates through Industrial Trucks and Services, Supply Chain Solutions, and Corporate Services segments. It develops, manufactures, and sells forklifts and warehouse trucks, such as counterbalance trucks with electric drive and internal combustion engine, ride-on and hand-operated industrial trucks, and towing vehicles under the Linde, Fenwick, STILL, Baoli, and OM Voltas brand names. The company also manufactures and sells spare parts; leases industrial trucks and related items; offers maintenance and repair, and fleet management services, as well as provides finance solutions. In addition, it provides integrated technology and software solutions, including conveyors, sorters, storage and retrieval systems, picking equipment, palletizers, and robotic solutions under the Dematic brand. The company was formerly known as KION Holding 1 GmbH. KION GROUP AG was founded in 2006 and is based in Frankfurt am Main, Germany.",Frankfurt am Main,49 69 201 100,,Germany,[],http://www.kiongroup.com,1.0,Thea-Rasche-Strasse 8,Farm & Heavy Construction Machinery,83.72,83.64,73.3616,0.0048972764,0.0219,,84.08,,187495.0,,83.72,76.784706,0.41,83.64,187495.0,,,,0.41,1620777600.0,1.327796,,,83.48,2.0,EUR,46.165745,126638.0,,,,10953545728.0,,,218841.0,1.3131229,83.48,0.0,,7700.0,126638.0,85.64,18.32456,,,40.274216,0.0,False,0.0049,13000.0,84.08,GER,KION GROUP AG,KION GROUP AG,Europe/Berlin,CEST,True,7200000,,EQUITY,KGX.DE,,,finmb_29228863,25bfa09d-89ed-3a71-8478-b1848eb0ba5d,de_market,,1.535,,0.025810001,10.678,,,4.56,,131086000.0,,,32.68,,,,1609372800.0,0.33222,215300000.0,1.81,,,2.5569155,0.45229998,1672444800.0,1609372800.0,,,71784262.0,12800585728.0,,,,,,-0.34,,,,,,,,83.56,https://logo.clearbit.com/kiongroup.com,,49 69 201 107 690,,,
70,3072 AP,Communication Services,7783.0,"Koninklijke KPN N.V. provides telecommunications and information technology (IT) services in the Netherlands. The company operates through Consumer; Business; Wholesale; and Network, Operations & IT segments. It offers fixed and mobile telephony, fixed and mobile broadband internet, and television services to retail consumers; infrastructure and network related IT solutions to business customers; and wholesale network services to third parties. The company also provides cloud and security services; and workplace and related services to large corporate customers. Koninklijke KPN N.V. was founded in 1881 and is headquartered in Rotterdam, the Netherlands.",Rotterdam,31 70 343 4343,,Netherlands,[],http://www.kpn.com,1.0,Wilhelminakade 123,Telecom Services,2.88,2.921,2.548868,0.045138884,0.96919996,,2.934,,16520009.0,,2.88,2.8582058,0.13,2.921,16520009.0,,,,0.13,1618531200.0,0.332779,,,2.819,4.0,EUR,21.976925,33715218.0,,,,12007514112.0,,,18975363.0,2.2698514,2.819,0.0,,0.0,33715218.0,2.98,21.976925,,4.33,1.9525,0.0,False,0.045500003,0.0,2.934,AMS,KPN KON,Koninklijke KPN N.V.,Europe/Amsterdam,CEST,True,7200000,,EQUITY,KPN.AS,,,finmb_410778,523a4322-7858-33a1-8331-62c3f1f3bbc5,nl_market,,3.546,,0.10586,9.062,,,0.13,,4202840064.0,,,0.624,,,,1609372800.0,0.54963,550000000.0,0.13,,,4.5785255,0.20049,1672444800.0,1609372800.0,,,3354598079.0,18758500352.0,,967766400.0,2:1,,,-0.232,,,,,,,,2.857,https://logo.clearbit.com/kpn.com,,,,,
71,92150,Technology,1397.0,"Talend S.A. provides data integration and integrity solutions for various industries in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It designs and develops Talend Data Fabric, a software platform that integrates data and applications in real time across big data and cloud environments, as well as traditional systems, which allows organizations to develop a unified view of their business and customers. The company's Talend Data Fabric platform includes data ingestion, data integration, big data integration, application and cloud integration, data catalogue, and API design and testing, as well as self-service data preparation products; and Stitch Data Loader, a cloud-based data ingestion engine. It also provides professional services, such as strategic enterprise architecture advisory services, implementation support, and private technical training courses. The company sells its products directly to customers through its sales force, as well as through indirectly channel partners. The company was incorporated in 2005 and is based in Suresnes, France.",Suresnes,33 1 46 25 06 00,,France,[],http://www.talend.com,1.0,"5-7, rue Salomon de Rothschild",Software—Infrastructure,64.34,64.25,45.261185,,0.0,,64.74,,594000.0,,64.34,58.51121,,64.25,594000.0,,,,,,0.878693,,,64.25,2.0,USD,,152806.0,,,,2093336064.0,,,535985.0,7.2819033,64.25,64.7,,800.0,152806.0,65.9,-294.0909,,,20.07,64.01,False,,900.0,64.74,NGM,Talend S.A.,Talend S.A.,America/New_York,EDT,False,-14400000,,EQUITY,TLND,,,finmb_27333157,1541d0ca-6534-3942-addc-759ad762b132,us_market,,7.338,,-0.27683002,-33.822,,,-0.22,,32354500.0,,,0.273,994972.0,0.0308,,1609372800.0,0.91239,-79582000.0,-2.524,,,236.99632,0.03483,1672444800.0,1609372800.0,1.22,1613088000.0,28986726.0,2109510912.0,,,,,,,1615766400.0,-2.52,,,986929.0,,,64.7,https://logo.clearbit.com/talend.com,,,,,
72,28007,Communication Services,2008.0,"Cellnex Telecom, S.A. operates infrastructure for wireless telecommunication in Spain, Italy, the Netherlands, France, Switzerland, the United Kingdom, and Ireland. The company operates through three segments: Telecom Infrastructure Services, Broadcasting Infrastructure, and Other Network Services. It offers co-location services in its infrastructure allowing mobile carriers to install their telecommunications and wireless radio broadcast equipment; and multi-operator telephony network solutions for open and closed environments through distributed antenna systems and small cells technologies. The company also provides broadcasting network services, including digital terrestrial television (DTT), hybrid DTT, satellite DTT services, and premium DTT services; FM and digital radio services; and Internet media services, such as online multiscreen video solutions, online business support solutions, and content distribution services, as well as site rental services. In addition, it offers data transportation services comprising satellite transportation, digital terrestrial circuits, Amazon direct connect, and Internet throughput services; security and emergency networks, terminals, and control centers; smart communication networks consisting of wireless broadband, irrigation management services in rural settings, and Internet of Things services; smart services for city management; and engineering/consulting, and operation and maintenance services. The company serves mobile network operators, broadcasters, and other public and private companies. As of December 31, 2019, it operated through a portfolio of 36,471 sites and 1,995 nodes. The company was formerly known as Abertis Telecom Terrestre, S.A.U. and changed its name to Cellnex Telecom, S.A. in April 2015. Cellnex Telecom, S.A. was founded in 2008 and is headquartered in Madrid, Spain.",Madrid,34 912 02 60 01,,Spain,[],http://www.cellnextelecom.com,1.0,"Juan EsplandiÃº, 11-13",Telecom Services,42.34,41.9,49.29043,0.00073216815,,,42.32,,3249750.0,,42.34,44.268234,0.031,41.9,3249750.0,,,,0.07,1606089600.0,0.337763,,,41.72,2.0,EUR,,2743012.0,,,,22052517888.0,,,1698443.0,14.115762,41.72,42.88,,0.0,2743012.0,57.86,,,0.35,39.24,41.8,False,0.0016,0.0,42.32,MCE,"CELLNEX TELECOM, S.A.","Cellnex Telecom, S.A.",Europe/Madrid,CEST,False,7200000,,EQUITY,CLNX.MC,,,finmb_275401287,9ae6789d-e053-371b-832c-33ee41c8b693,es_market,,17.831,,-0.085200004,34.671,,,,,525184992.0,,,16.481,,,,1609372800.0,0.62334,-133100000.0,-0.35,,,2.5477822,0.0367,1672444800.0,1609372800.0,,,338682787.0,27856459776.0,,,,,,,,,,,,,,41.99,https://logo.clearbit.com/cellnextelecom.com,,,,,
73,105 45,Technology,48000.0,"AB Electrolux (publ), together with its subsidiaries, manufactures and sells household appliances in Europe, North America, Latin America, the Asia/Pacific, the Middle East, and Africa. The company offers various appliances, such as refrigerators, freezers, cookers, dryers, washing machines, dishwashers, room air-conditioners, microwave ovens, floor-care products, vacuum cleaners, water heaters, heat pumps, and other small domestic appliances, as well as consumables and accessories. It also provides hobs, ovens, and hoods; and tumble dryers. The company offers its products under the Electrolux, AEG, and Frigidaire brands through retailers, buying groups, and independent stores. AB Electrolux (publ) was founded in 1901 and is headquartered in Stockholm, Sweden.",Stockholm,46 87 38 60 00,,Sweden,[],http://www.electroluxgroup.com,1.0,S:t Goransgatan 143,Consumer Electronics,245.6,246.0,208.15356,0.03257329,0.5051,,248.9,,1356669.0,,245.6,225.78088,8.0,246.0,1356669.0,,,,15.0,1632787200.0,1.229235,,,246.0,2.0,SEK,10.809039,779106.0,,,,71161069568.0,,,1691815.0,0.6136691,246.0,247.9,,0.0,779106.0,261.3,14.572776,,3.06,120.2,247.7,False,0.060700003,0.0,248.9,STO,"Electrolux, AB ser. B",AB Electrolux (publ),Europe/Stockholm,CEST,True,7200000,,EQUITY,ELUX-B.ST,,,finmb_526391,ad8abfdf-2b28-33ac-8c9b-4af98dfaa91c,se_market,,0.595,,0.05678,6.623,,,16.97,,279204992.0,,,65.077,,,,1609372800.0,0.44204,3988999936.0,22.879,,,3.8001134,0.0,1672444800.0,1609372800.0,,,236421764.0,68992393216.0,,896745600.0,5:1,,,2.327,,,,,,,,247.3,https://logo.clearbit.com/electroluxgroup.com,Stadshagen,,,,
74,10243,Consumer Cyclical,14194.0,"Zalando SE operates as an online fashion and lifestyle retailer. It offers a range of products, including shoes, apparel, accessories, and beauty products for women, men, and children, as well as free delivery and returns services. The company also sells its products through its Zalando Lounge; and brick-and-mortar stores in Berlin, Frankfurt, Cologne, Leipzig, Hamburg, Hanover, MÃ¼nster, Stuttgart, Mannheim, and Ulm. It serves in Austria, Belgium, the Czech Republic, Denmark, Finland, France, Germany, Ireland, Italy, Luxemburg, the Netherlands, Norway, Poland, Spain, Sweden, Switzerland, and the United Kingdom. Zalando SE was founded in 2008 and is headquartered in Berlin, Germany.",Berlin,49 30 2000 88 585,,Germany,[],http://corporate.zalando.de,1.0,Valeska-Gert-Strasse 5,Internet Retail,87.0,87.54,86.85815,,0.0,,88.92,,454334.0,,87.0,87.44147,,87.54,454334.0,,,,,,1.318936,,,87.18,2.0,EUR,101.790695,371249.0,,,,21979979776.0,,,524100.0,2.7536933,87.18,0.0,,25500.0,371249.0,103.25,182.375,,,37.69,0.0,False,,28600.0,88.92,GER,ZALANDO SE,Zalando SE,Europe/Berlin,CEST,True,7200000,,EQUITY,ZAL.DE,,,finmb_97997549,5d3562bf-a015-3bd0-bd40-3714ffcd4ba2,de_market,,2.66,,0.02833,43.32,,,0.48,,251084992.0,,,8.499,,,,1609372800.0,0.63094,226100000.0,0.86,,,10.300035,0.13346,1672444800.0,1609372800.0,,,173589827.0,21235388416.0,,,,,,0.539,,,,,,,,87.54,https://logo.clearbit.com/corporate.zalando.de,,49 30 2759 46 93,,,
75,00180,Industrials,16405.0,"WÃ¤rtsilÃ¤ Oyj Abp provides technologies and lifecycle solutions for the marine and energy markets worldwide. It offers gas, multi-fuel, liquid fuel, biofuel, and hybrid power plants; and hydro, and project management and financing services. The company also provides ballast water management systems; and automation, dredge control and monitoring, integrated bridge control, and measurement and control technologies. It offers electric propulsion and drives; power generation and distribution systems; navigation and communication systems; dynamic positioning and smart sensors; and entertainment systems. The company also provides dual fuel, diesel, gas, and RTA and RT-flex low-speed engines, as well as generating sets and engine auxiliary systems; NOx Reducer, an emission after-treatment system; hybrid solutions; architectural lighting, audio, broadcast, digital signage, dynamic lighting, and LED display systems; exhaust gas cleaning systems; single stage desalination systems and multi stage flash evaporators; Reverse Osmosis, a water purification technology; and gas cargo handling, VOC recovery, fuel gas supply, tank control, LPG fuel supply, and inert gas systems; and regasification, liquefaction and BOG reliquefaction, and biogas solutions. It offers gears, propellers, propulsion control systems, rudders, thrusters, OPTI designs, and waterjets; shaft line solutions; waste treatment systems; and ship design and underwater services. The company also provides fleet operation, e-navigation, environmental, ship traffic control, smart port, propulsion, and simulation and training solutions, as well as SmartMove suites and navigational equipment and charts. It offers spare parts, 2 and 4-stroke engine, cyber, turbocharger, workshops, and technical support services. The company serves merchant vessels, gas carriers, cruise and ferry, navy, and special vessels segments. WÃ¤rtsilÃ¤ Oyj Abp was founded in 1834 and is headquartered in Helsinki, Finland.",Helsinki,358 1070 90000,,Finland,[],http://www.wartsila.com,1.0,Hiililaiturinkuja 2,Specialty Industrial Machinery,2.08,2.07,1.943037,0.09615385,2.1005,,2.08,,625.0,,2.08,2.1854546,0.2,2.07,625.0,,,,0.08,1614902400.0,1.054817,,,2.08,4.0,USD,38.518517,20.0,,,,6375074816.0,,,1265.0,1.3783946,2.08,0.0,,0.0,20.0,2.46,,,3.37,1.34,0.0,False,0.038599998,0.0,2.08,PNK,WARTSILA OYJ ABP,Wärtsilä Oyj Abp,America/New_York,EDT,False,-14400000,,EQUITY,WRTBY,,,finmb_876135,ef213f28-0b49-3bcf-923a-abda084addbe,us_market,,1.421,,0.028970001,19.978,,,,,2958619904.0,,,0.7358,,,,1609372800.0,,134000000.0,0.054,,,2.826855,,1672444800.0,1609372800.0,,,1946326161.0,6572923392.0,,1521590400.0,3:1,,,-0.436,,,,,,,,2.08,https://logo.clearbit.com/wartsila.com,,358 1070 95700,,,
76,95870,Technology,20709.0,"Worldline SA provides electronic payment and transactional services to financial institutions, merchants, corporations, and government agencies in Europe, the Americas, and the Asia Pacific. The company operates through Merchant Services; Terminals, Solutions & Services (TSS); Financial Services; and Mobility & e-Transactional Services segments. The Merchant Services segment offers commercial acquiring, terminal, omnichannel payment acceptance, private label card and loyalty, and digital retail services. The Financial Services segment provides issuing processing, acquiring processing, digital and mobile banking, and account payments, as well as payments processing back-office, clearing and settlement, and trade order management and financial data services; and fraud risk management, ATM management, trusted authentication, and payment software licensing solutions. The Mobility & e-Transactional Services segment offers trusted digitization, e-ticketing, contact and consumer cloud, and connected living and mobility solutions and services, as well as digital identity, digital signature, and digital preservation services. The TSS segment provides point of sale, payment application and value added, estate management, maintenance, and repair solutions. The company was formerly known as Atos Worldline S.A.S. and changed its name to Worldline SA in April 2014. Worldline SA was founded in 1973 and is headquartered in Bezons, France.",Bezons,33 1 34 34 95 95,,France,[],http://www.worldline.com,1.0,80 Quai Voltaire,Software—Infrastructure,73.43,72.38,73.598145,,0.0,,74.17,,605373.0,,73.43,73.475296,,72.38,605373.0,,,,,,1.306201,,,72.38,2.0,EUR,90.87224,562660.0,,,,20623724544.0,,,650401.0,7.5055404,72.38,0.0,,0.0,562660.0,82.66,63.222225,,,55.26,0.0,False,,0.0,74.17,PAR,WORLDLINE,Worldline SA,Europe/Paris,CEST,False,7200000,,EQUITY,WLN.PA,,,finmb_13186617,4663b67c-f4df-36ac-863c-13535bf7660f,fr_market,,9.104,,0.05957,47.766,,,1.17,,278812000.0,,,33.964,,,,1609372800.0,0.51932,163700000.0,0.814,,,2.177894,0.13457,1672444800.0,1609372800.0,,,242066309.0,25015252992.0,,,,,,-0.348,,,,,,,,73.97,https://logo.clearbit.com/worldline.com,River Ouest,,,,
77,2400 BA,Communication Services,18785.0,"Wolters Kluwer N.V., together with its subsidiaries, provides professional information, software solutions, and services in Europe, North America, the Asia Pacific, and internationally. The company operates through Health; Tax & Accounting; Governance, Risk & Compliance; and Legal & Regulatory divisions. The company's Health division offers solutions in the areas of clinical decision support, clinical drug information, patient engagement, clinical terminologies, clinical surveillance, nursing education and practice, medical research, and continuing medical education services; and medical, nursing, and allied health journal and book publishing solutions. Its Tax & Accounting division provides solutions in the areas of compliance, collaboration, internal and external audit management, and corporate performance and firm management. The company's Governance, Risk & Compliance division offers enterprise legal spend and matter management, and legal analytics solutions; regulatory compliance, risk management, and business performance; and lien solutions. Its Legal & Regulatory division provides evidence-based information, actionable insights, and integrated workflow solutions to help customers in making the right decisions and streamline legal and regulatory compliance. The company serves clinicians, nurses, accountants, and lawyers, as well as tax, finance, audit, risk, compliance, and regulatory sectors. Wolters Kluwer N.V. was founded in 1836 and is based in Alphen aan den Rijn, the Netherlands.",Alphen aan den Rijn,31 172 641 400,,Netherlands,[],http://wolterskluwer.com,1.0,Zuidpoolsingel 2,Publishing,75.0,76.24,70.46214,0.018133333,0.4667,,76.36,,530371.0,,75.0,69.490585,1.36,76.24,530371.0,,,,1.36,1619395200.0,0.245293,,,75.66,2.0,EUR,28.192593,502722.0,,,,19841515520.0,,,632898.0,4.3105617,75.66,0.0,,0.0,502722.0,78.22,28.724527,,1.84,62.98,0.0,False,0.0179,0.0,76.36,AMS,WOLTERS KLUWER,Wolters Kluwer N.V.,Europe/Amsterdam,CEST,True,7200000,,EQUITY,WKL.AS,,,finmb_428487,cc121132-994d-3a2d-8071-79445684a6c0,nl_market,,4.858,,0.15664,16.601,,,2.65,,260723008.0,,,7.952,,,,1609372800.0,0.61624,721000000.0,2.7,,,9.572434,0.0004,1672444800.0,1609372800.0,,,261937496.0,22361237504.0,,,,,,-0.052,,,,,,,,76.12,https://logo.clearbit.com/wolterskluwer.com,PO Box 1030,,,,
78,94588,Technology,12500.0,"Workday, Inc. provides enterprise cloud applications worldwide. Its applications help its customers to manage critical business functions and optimize their financial and human resources. The company offers a suite of financial management applications, which enable chief financial officers to maintain accounting information in the general ledger; manage financial processes; identify real-time financial, operational, and management insights; enhance financial consolidation; reduce time-to-close; promote internal control and auditability; and achieve consistency across finance operations. It also provides cloud spend management solutions; a suite of human capital management applications that allows organizations to manage the entire employee lifecycle from recruitment to retirement; Workday applications for planning; and applications for analytics and reporting, including augmented analytics to surface insights to the line of business in simple-to-understand stories, machine learning to drive efficiency and automation, and benchmarks to compare performance against other companies. In addition, the company offers Workday applications serving industries, such as healthcare, higher education, and professional services. It serves technology, financial services, business and professional services, healthcare and life sciences, manufacturing, retail, and hospitality industries; and educational institutions, government agencies, and nonprofit organizations. The company was formerly known as North Tahoe Power Tools, Inc. and changed its name to Workday, Inc. in July 2005. Workday, Inc. was founded in 2005 and is headquartered in Pleasanton, California.",Pleasanton,925-951-9000,CA,United States,[],http://www.workday.com,1.0,6110 Stoneridge Mall Road,Software—Application,5124.0,0.0,4695.413,,0.0,,5123.0,,3.0,,5124.0,4995.8774,,0.0,3.0,,,,,,1.30557,,,5123.0,2.0,MXN,,0.0,,,,1257973088256.0,,,107.0,291.3326,5123.0,5390.0,,,0.0,5340.95,,,,4062.31,4200.0,False,,,5123.0,MEX,WORKDAY INC,"Workday, Inc.",America/Mexico_City,CDT,True,-18000000,,EQUITY,WDAY.MX,,,finmb_23815047,f7b7637b-c238-3086-96e0-9e945086d55d,mx_market,,288.002,,-0.065409996,10024.274,,,,,180000000.0,,,13.489,,,,1612051200.0,0.92023003,-282431008.0,-23.956,,,379.79092,0.010299999,1675123200.0,1612051200.0,,,182638800.0,1243591475200.0,,,,,,,,,,,,,,5123.0,https://logo.clearbit.com/workday.com,,,,,
79,81677,Technology,3334.0,"Siltronic AG, together with its subsidiaries, manufactures and sells semiconductor silicon wafers with diameters of up to 300 mm worldwide. The company offers polished and epitaxial wafers. The company also provides special products, such as Ultimate Silicon, an optimal crystal for polished wafers; PowerFZ wafers; and HiREF high reflective non-polished wafers. Its silicon wafers are used in computers, smartphones, flat screens, navigation systems, and other applications. The company was formerly known as Wacker Siltronic AG and changed its name to Siltronic AG in 2004. Siltronic AG was founded in 1953 and is headquartered in Munich, Germany.",Munich,49 89 8564 3000,,Germany,[],http://www.siltronic.com,1.0,Einsteinstrasse 172,Semiconductors,138.3,139.65,117.627,0.014461315,0.5597,,139.65,,25443.0,,138.3,138.77206,2.0,139.65,25443.0,,,,2.0,1619740800.0,2.187707,,,138.8,2.0,EUR,25.895523,36603.0,,,,4164000000.0,,,109342.0,3.4498756,138.8,0.0,,3400.0,36603.0,147.35,13.244276,,,68.98,0.0,False,0.014400001,400.0,139.65,GER,SILTRONIC AG NA O.N.,Siltronic AG,Europe/Berlin,CEST,False,7200000,,EQUITY,WAF.DE,,,finmb_5874040,ee349701-cf0f-3a50-95c8-539582c2e05c,de_market,,3.187,,0.13322,11.872,,,10.48,,30000000.0,,,26.203,,,,1609372800.0,0.45875,160800000.0,5.36,,,5.297104,0.50516,1672444800.0,1609372800.0,,,15751500.0,3846400000.0,,,,,,-0.036,,0.1,,,,,,138.8,https://logo.clearbit.com/siltronic.com,,,,,
80,RG14 2FN,Communication Services,105263.0,"Vodafone Group Plc engages in telecommunication services in Europe and internationally. The company offers mobile services that enable customers to call, text, and access data; fixed line services, including broadband, television (TV) offerings, and voice; and convergence services under the GigaKombi and Vodafone One names to customers. It also provides mobile, fixed, and a suite of converged communication services, such as Internet of Things (IoT) comprising managed IoT connectivity, automotive, and insurance services, as well as smart metering and health solutions; cloud and security portfolio comprising public and private cloud services, as well as cloud-based applications and products for securing networks and devices; and international voice, IP transit, and messaging services to support business customers that include small home offices and large multi-national companies. In addition, the company offers M-Pesa, an African payment platform, which provides money transfer, financial, and business and merchant payment services; and various services to operators through its partner market agreements, as well as rents capacity to mobile virtual network operators to provide mobile services. Vodafone Group Plc has strategic partnerships with Open Fiber; and Mobile TeleSystems PJSC. As of March 31, 2019, it had approximately 650 million mobile customers, 19 million fixed broadband customers, and 14 million TV customers. The company was founded in 1984 and is headquartered in Newbury, the United Kingdom.",Newbury,44 163 533251,,United Kingdom,[],http://www.vodafone.com,1.0,Vodafone House,Telecom Services,136.64,136.68,122.55291,0.00078307965,1.0526,,136.76,,59729770.0,,136.64,130.80057,0.107,136.68,59729770.0,,,,0.08,1608163200.0,0.861018,,,134.08,2.0,GBp,13.330692,42532349.0,,,,37948014592.0,,,79460891.0,0.71897334,134.08,136.16,,0.0,42532349.0,157.52,13.464001,,6.48,87.113,134.0,False,0.0585,0.0,136.76,LSE,VODAFONE GROUP PLC ORD USD0.20 ,Vodafone Group Plc,Europe/London,BST,True,3600000,,EQUITY,VOD.L,,,finmb_324490,9673b65a-c1b9-3875-a321-400545ea8a81,gb_market,,2.139,,0.05672,7.475,,,0.1,,28184799232.0,,,2.346,,,,1585612800.0,0.47556,2993866240.0,10.1,,,57.391304,0.00164,1648684800.0,1601424000.0,,,29125940250.0,112872292352.0,,1393200000.0,6:11,,,,,,,,,,,134.64,https://logo.clearbit.com/vodafone.com,The Connection,,,,
81,38440,Consumer Cyclical,662575.0,"Volkswagen AG manufactures and sells automobiles primarily in Europe, North America, South America, and the Asia-Pacific. The company operates in four segments: Passenger Cars and Light Commercial Vehicles, Commercial Vehicles, Power Engineering, and Financial Services. The Passenger Cars and Light Commercial Vehicles segment develops vehicles and engines, and light commercial vehicles; and produces and sells passenger cars and related parts. The Commercial Vehicles segment develops, produces, and sells trucks and buses; and offers parts and related services. The Power Engineering segment offers large-bore diesel engines, turbomachinery, special gear units, and propulsion components. The Financial Services segment provides dealer and customer financing, leasing, banking and insurance, fleet management, and mobility services. The company also offers motorcycles. It provides its products under the Volkswagen Passenger Cars, Audi, ÂKODA, SEAT, Bentley, Porsche, Volkswagen Commercial Vehicles, Scania, MAN, Lamborghini, Ducati, and Bugatti brands. Volkswagen AG was incorporated in 1937 and is based in Wolfsburg, Germany. Volkswagen AG operates as a subsidiary of Porsche Automobil Holding SE.",Wolfsburg,49 5361 9 0,,Germany,[],http://www.volkswagenag.com,1.0,Berliner Ring 2,Auto Manufacturers,240.5,238.0,159.15164,0.0202079,0.2928,,240.2,,1153986.0,,240.5,198.26617,4.86,238.0,1153986.0,,,,4.86,1601510400.0,1.509413,,,237.05,2.0,EUR,14.264661,680071.0,,,,136248131584.0,,,1633603.0,0.6112961,237.05,0.0,,63200.0,680071.0,252.2,8.368031,,,111.1,0.0,False,0.020299999,207000.0,240.2,GER,VOLKSWAGEN AG VZO O.N.,Volkswagen AG,Europe/Berlin,CEST,True,7200000,,EQUITY,VOW3.DE,,,finmb_377732,9c37d67f-1aa6-3e65-9fa3-3795a42efffb,de_market,,1.248,,0.03978,12.043,,,28.34,,206204992.0,,,253.441,,,,1609372800.0,0.33883998,8334000128.0,16.625,,,0.93572074,0.0,1672444800.0,1609372800.0,,,234826753.0,278150184960.0,,,,,,1.519,,,,,,,,237.15,https://logo.clearbit.com/volkswagenag.com,,49 5361 9 28282,,,
82,417 15,Industrials,87492.0,"AB Volvo (publ), together with its subsidiaries, manufactures and sells trucks, buses, construction equipment, and marine and industrial engines in Europe, North America, South America, Asia, Africa, and Oceania. The company offers trucks for long-haulage, construction, mining, and distribution purposes under the Volvo, UD Trucks, Renault Trucks, Mack, Eicher, and Dongfeng Trucks brands; and city and intercity buses, coaches, and bus chassis, as well as associated transport systems under the Prevost and Nova Bus brands. It also provides construction equipment, including excavators, articulated and rigid haulers, wheel loaders, road construction machines, pavers, and compactors under the brand names of Volvo, SDLG, and Terex Trucks. In addition, the company offers engines and power solutions for leisure and commercial boats, as well as for power generation, industrial, and off-road applications under the Volvo Penta brand name. Further, it provides financing, insurance, rental, spare parts, repair, preventive maintenance, service agreement, and assistance services. The company offers its products and services through a network of dealerships and workshops. It has a strategic alliance with Isuzu Motors within commercial vehicles; a partnership with Samsung SDI Co to develop battery packs for its trucks; and an agreement with NVIDIA to develop commercial vehicles and machines. AB Volvo (publ) was incorporated in 1915 and is headquartered in Gothenburg, Sweden.",Gothenburg,46 31 66 00 00,,Sweden,[],http://www.volvogroup.com,1.0,GropegArdsgatan 2,Farm & Heavy Construction Machinery,210.0,211.65,201.42679,0.028571429,0.0,,212.0,,6129725.0,,210.0,224.51912,6.0,211.65,6129725.0,,,,6.0,1617235200.0,1.235326,,,209.1,2.0,SEK,22.28421,4267801.0,,,,432928620544.0,,,5013353.0,1.2791661,209.1,211.7,,0.0,4267801.0,240.8,15.0676155,,,113.7,211.6,False,0.028299998,0.0,212.0,STO,"Volvo, AB ser. B",AB Volvo (publ),Europe/Stockholm,CEST,True,7200000,,EQUITY,VOLV-B.ST,,,finmb_312375,1f0d59f3-2d2e-3c4d-a90a-959c2bdded9e,se_market,,1.479,,0.05708,15.32,,,14.05,,1588460032.0,,,71.452,,,,1609372800.0,0.55809,19317999616.0,9.5,,,2.962828,0.049590003,1672444800.0,1609372800.0,,,1863028465.0,500430798848.0,,1177545600.0,5:1,,,0.382,,,,,,,,211.7,https://logo.clearbit.com/volvogroup.com,,,,,
